"","Pos","LW","Weeks","Song","Artist","hit_week"
"4080","20","New","1","Softly Softly","Equals",1969-05-02
"4081","1","1","7","Sorry Suzanne","Hollies",1969-05-09
"4082","2","3","3","Where Do You Go to My Lovely","Peter Sarstedt",1969-05-09
"4083","3","2","7","Indian Giver","1910 Fruitgum Company",1969-05-09
"4084","4","4","5","Games People Play","Joe South",1969-05-09
"4085","5","6","4","Aquarius/Let the Sunshine In","5th Dimension",1969-05-09
"4086","6","7","5","Feelin’ so Good (Skoo By-Doo)","Archies",1969-05-09
"4087","7","13","3","Ring of Fire","Eric Burdon & The Animals",1969-05-09
"4088","8","16","2","The Windmills of Your Mind","Noel Harrison",1969-05-09
"4089","9","5","11","Dizzy","Tommy Roe",1969-05-09
"4090","10","12","10","What am I Living For","Percy Sledge",1969-05-09
"4091","11","18","2","First of May","Bee Gees",1969-05-09
"4092","12","8","8","Monsieur DuPont","Sandie Shaw",1969-05-09
"4093","13","20","2","Softly Softly","Equals",1969-05-09
"4094","14","15","4","Melody Fayre","Quentin E. Klopjaeger",1969-05-09
"4095","15","9","12","Crimson & Clover","Tommy James & The Shondells",1969-05-09
"4096","16","19","3","Speak Softly, My Love","Stu Phillips",1969-05-09
"4097","17","New","1","Hair","Cowsills",1969-05-09
"4098","18","New","1","Hello World","Tremeloes",1969-05-09
"4099","19","New","1","Everyday I Have to Cry","Johnny Rivers",1969-05-09
"4100","20","New","1","Goodnight My Love, Pleasant Dreams","Paul Anka",1969-05-09
"4101","1","2","4","Where Do You Go to My Lovely","Peter Sarstedt",1969-05-16
"4102","2","4","6","Games People Play","Joe South",1969-05-16
"4103","3","5","5","Aquarius/Let the Sunshine In","5th Dimension",1969-05-16
"4104","4","1","8","Sorry Suzanne","Hollies",1969-05-16
"4105","5","3","8","Indian Giver","1910 Fruitgum Company",1969-05-16
"4106","6","7","4","Ring of Fire","Eric Burdon & The Animals",1969-05-16
"4107","7","8","3","The Windmills of Your Mind","Noel Harrison",1969-05-16
"4108","8","11","3","First of May","Bee Gees",1969-05-16
"4109","9","6","6","Feelin’ so Good (Skoo By-Doo)","Archies",1969-05-16
"4110","10","13","3","Softly Softly","Equals",1969-05-16
"4111","11","18","2","Hello World","Tremeloes",1969-05-16
"4112","12","17","2","Hair","Cowsills",1969-05-16
"4113","13","12","9","Monsieur DuPont","Sandie Shaw",1969-05-16
"4114","14","19","2","Everyday I Have to Cry","Johnny Rivers",1969-05-16
"4115","15","10","11","What am I Living For","Percy Sledge",1969-05-16
"4116","16","14","5","Melody Fayre","Quentin E. Klopjaeger",1969-05-16
"4117","17","16","4","Speak Softly, My Love","Stu Phillips",1969-05-16
"4118","18","20","2","Goodnight My Love, Pleasant Dreams","Paul Anka",1969-05-16
"4119","19","15","13","Crimson & Clover","Tommy James & The Shondells",1969-05-16
"4120","20","New","1","Round the Gum Tree","Real McCoy",1969-05-16
"4121","1","2","7","Games People Play","Joe South",1969-05-23
"4122","2","1","5","Where Do You Go to My Lovely","Peter Sarstedt",1969-05-23
"4123","3","3","6","Aquarius/Let the Sunshine In","5th Dimension",1969-05-23
"4124","4","5","9","Indian Giver","1910 Fruitgum Company",1969-05-23
"4125","5","7","4","The Windmills of Your Mind","Noel Harrison",1969-05-23
"4126","6","12","3","Hair","Cowsills",1969-05-23
"4127","7","8","4","First of May","Bee Gees",1969-05-23
"4128","8","14","3","Everyday I Have to Cry","Johnny Rivers",1969-05-23
"4129","9","10","4","Softly Softly","Equals",1969-05-23
"4130","10","4","9","Sorry Suzanne","Hollies",1969-05-23
"4131","11","11","3","Hello World","Tremeloes",1969-05-23
"4132","12","New","1","Proud Mary","Creedence Clearwater Revival",1969-05-23
"4133","13","17","5","Speak Softly, My Love","Stu Phillips",1969-05-23
"4134","14","New","1","Pinball Wizard","Who",1969-05-23
"4135","15","20","2","Round the Gum Tree","Real McCoy",1969-05-23
"4136","16","6","5","Ring of Fire","Eric Burdon & The Animals",1969-05-23
"4137","17","18","3","Goodnight My Love, Pleasant Dreams","Paul Anka",1969-05-23
"4138","18","New","1","Mercy","Ohio Express",1969-05-23
"4139","19","New","1","In the Bad, Bad Old Days","Foundations",1969-05-23
"4140","20","New","1","Young Love Can Hurt","Dickie Loader",1969-05-23
"4141","1","1","8","Games People Play","Joe South",1969-05-30
"4142","2","4","10","Indian Giver","1910 Fruitgum Company",1969-05-30
"4143","3","6","4","Hair","Cowsills",1969-05-30
"4144","4","2","6","Where Do You Go to My Lovely","Peter Sarstedt",1969-05-30
"4145","5","7","5","First of May","Bee Gees",1969-05-30
"4146","6","12","2","Proud Mary","Creedence Clearwater Revival",1969-05-30
"4147","7","14","2","Pinball Wizard","Who",1969-05-30
"4148","8","9","5","Softly Softly","Equals",1969-05-30
"4149","9","3","7","Aquarius/Let the Sunshine In","5th Dimension",1969-05-30
"4150","10","5","5","The Windmills of Your Mind","Noel Harrison",1969-05-30
"4151","11","10","10","Sorry Suzanne","Hollies",1969-05-30
"4152","12","8","4","Everyday I Have to Cry","Johnny Rivers",1969-05-30
"4153","13","11","4","Hello World","Tremeloes",1969-05-30
"4154","14","15","3","Round the Gum Tree","Real McCoy",1969-05-30
"4155","15","18","2","Mercy","Ohio Express",1969-05-30
"4156","16","13","6","Speak Softly, My Love","Stu Phillips",1969-05-30
"4157","17","New","1","Love Me Tonight","Tom Jones",1969-05-30
"4158","18","19","2","In the Bad, Bad Old Days","Foundations",1969-05-30
"4159","19","20","2","Young Love Can Hurt","Dickie Loader",1969-05-30
"4160","20","New","1","My Sentimental Friend","Herman’s Hermits",1969-05-30
"4161","1","3","5","Hair","Cowsills",1969-06-06
"4162","2","6","3","Proud Mary","Creedence Clearwater Revival",1969-06-06
"4163","3","2","11","Indian Giver","1910 Fruitgum Company",1969-06-06
"4164","4","1","9","Games People Play","Joe South",1969-06-06
"4165","5","5","6","First of May","Bee Gees",1969-06-06
"4166","6","7","3","Pinball Wizard","Who",1969-06-06
"4167","7","4","7","Where Do You Go to My Lovely","Peter Sarstedt",1969-06-06
"4168","8","15","3","Mercy","Ohio Express",1969-06-06
"4169","9","8","6","Softly Softly","Equals",1969-06-06
"4170","10","11","11","Sorry Suzanne","Hollies",1969-06-06
"4171","11","12","5","Everyday I Have to Cry","Johnny Rivers",1969-06-06
"4172","12","20","2","My Sentimental Friend","Herman’s Hermits",1969-06-06
"4173","13","13","5","Hello World","Tremeloes",1969-06-06
"4174","14","17","2","Love Me Tonight","Tom Jones",1969-06-06
"4175","15","10","6","The Windmills of Your Mind","Noel Harrison",1969-06-06
"4176","16","9","8","Aquarius/Let the Sunshine In","5th Dimension",1969-06-06
"4177","17","19","3","Young Love Can Hurt","Dickie Loader",1969-06-06
"4178","18","New","1","Kumbaya","Sandpipers",1969-06-06
"4179","19","New","1","Time of the Season","Zombies",1969-06-06
"4180","20","New","1","The Boxer","Simon & Garfunkel",1969-06-06
"4181","1","2","4","Proud Mary","Creedence Clearwater Revival",1969-06-13
"4182","2","1","6","Hair","Cowsills",1969-06-13
"4183","3","12","3","My Sentimental Friend","Herman’s Hermits",1969-06-13
"4184","4","3","12","Indian Giver","1910 Fruitgum Company",1969-06-13
"4185","5","5","7","First of May","Bee Gees",1969-06-13
"4186","6","8","4","Mercy","Ohio Express",1969-06-13
"4187","7","6","4","Pinball Wizard","Who",1969-06-13
"4188","8","13","6","Hello World","Tremeloes",1969-06-13
"4189","9","4","10","Games People Play","Joe South",1969-06-13
"4190","10","9","7","Softly Softly","Equals",1969-06-13
"4191","11","7","8","Where Do You Go to My Lovely","Peter Sarstedt",1969-06-13
"4192","12","11","6","Everyday I Have to Cry","Johnny Rivers",1969-06-13
"4193","13","14","3","Love Me Tonight","Tom Jones",1969-06-13
"4194","14","17","4","Young Love Can Hurt","Dickie Loader",1969-06-13
"4195","15","19","2","Time of the Season","Zombies",1969-06-13
"4196","16","20","2","The Boxer","Simon & Garfunkel",1969-06-13
"4197","17","18","2","Kumbaya","Sandpipers",1969-06-13
"4198","18","New","1","Bicycle Bill","Matt Hurter",1969-06-13
"4199","19","New","1","Think it All Over","Sandie Shaw",1969-06-13
"4200","20","New","1","Israelites","Desmond Dekker",1969-06-13
"4201","1","1","5","Proud Mary","Creedence Clearwater Revival",1969-06-20
"4202","2","3","4","My Sentimental Friend","Herman’s Hermits",1969-06-20
"4203","3","2","7","Hair","Cowsills",1969-06-20
"4204","4","5","8","First of May","Bee Gees",1969-06-20
"4205","5","8","7","Hello World","Tremeloes",1969-06-20
"4206","6","19","2","Think it All Over","Sandie Shaw",1969-06-20
"4207","7","6","5","Mercy","Ohio Express",1969-06-20
"4208","8","15","3","Time of the Season","Zombies",1969-06-20
"4209","9","16","3","The Boxer","Simon & Garfunkel",1969-06-20
"4210","10","4","13","Indian Giver","1910 Fruitgum Company",1969-06-20
"4211","11","14","5","Young Love Can Hurt","Dickie Loader",1969-06-20
"4212","12","17","3","Kumbaya","Sandpipers",1969-06-20
"4213","13","13","4","Love Me Tonight","Tom Jones",1969-06-20
"4214","14","7","5","Pinball Wizard","Who",1969-06-20
"4215","15","9","11","Games People Play","Joe South",1969-06-20
"4216","16","New","1","Heather Honey","Tommy Roe",1969-06-20
"4217","17","18","2","Bicycle Bill","Matt Hurter",1969-06-20
"4218","18","20","2","Israelites","Desmond Dekker",1969-06-20
"4219","19","New","1","Come Back and Shake Me","Clodagh Rodgers",1969-06-20
"4220","20","New","1","Happy Heart","Andy Williams",1969-06-20
"4221","1","2","5","My Sentimental Friend","Herman’s Hermits",1969-06-27
"4222","2","1","6","Proud Mary","Creedence Clearwater Revival",1969-06-27
"4223","3","3","8","Hair","Cowsills",1969-06-27
"4224","4","4","9","First of May","Bee Gees",1969-06-27
"4225","5","6","3","Think it All Over","Sandie Shaw",1969-06-27
"4226","6","8","4","Time of the Season","Zombies",1969-06-27
"4227","7","9","4","The Boxer","Simon & Garfunkel",1969-06-27
"4228","8","5","8","Hello World","Tremeloes",1969-06-27
"4229","9","12","4","Kumbaya","Sandpipers",1969-06-27
"4230","10","11","6","Young Love Can Hurt","Dickie Loader",1969-06-27
"4231","11","7","6","Mercy","Ohio Express",1969-06-27
"4232","12","13","5","Love Me Tonight","Tom Jones",1969-06-27
"4233","13","16","2","Heather Honey","Tommy Roe",1969-06-27
"4234","14","18","3","Israelites","Desmond Dekker",1969-06-27
"4235","15","14","6","Pinball Wizard","Who",1969-06-27
"4236","16","20","2","Happy Heart","Andy Williams",1969-06-27
"4237","17","19","2","Come Back and Shake Me","Clodagh Rodgers",1969-06-27
"4238","18","New","1","Little Yellow Aeroplane","Leapy Lee",1969-06-27
"4239","19","New","1","Time is Tight","Booker T & The MG’s",1969-06-27
"4240","20","New","1","Gitarzan","Ray Stevens",1969-06-27
"4241","1","1","6","My Sentimental Friend","Herman’s Hermits",1969-07-04
"4242","2","2","7","Proud Mary","Creedence Clearwater Revival",1969-07-04
"4243","3","6","5","Time of the Season","Zombies",1969-07-04
"4244","4","5","4","Think it All Over","Sandie Shaw",1969-07-04
"4245","5","3","9","Hair","Cowsills",1969-07-04
"4246","6","7","5","The Boxer","Simon & Garfunkel",1969-07-04
"4247","7","4","10","First of May","Bee Gees",1969-07-04
"4248","8","9","5","Kumbaya","Sandpipers",1969-07-04
"4249","9","10","7","Young Love Can Hurt","Dickie Loader",1969-07-04
"4250","10","11","7","Mercy","Ohio Express",1969-07-04
"4251","11","13","3","Heather Honey","Tommy Roe",1969-07-04
"4252","12","18","2","Little Yellow Aeroplane","Leapy Lee",1969-07-04
"4253","13","14","4","Israelites","Desmond Dekker",1969-07-04
"4254","14","12","6","Love Me Tonight","Tom Jones",1969-07-04
"4255","15","8","9","Hello World","Tremeloes",1969-07-04
"4256","16","19","2","Time is Tight","Booker T & The MG’s",1969-07-04
"4257","17","17","3","Come Back and Shake Me","Clodagh Rodgers",1969-07-04
"4258","18","20","2","Gitarzan","Ray Stevens",1969-07-04
"4259","19","New","1","Gimme Gimme Good Lovin’","Crazy Elephant",1969-07-04
"4260","20","New","1","Montreal","Judy Page Ft Kimbo",1969-07-04
"4261","1","1","7","My Sentimental Friend","Herman’s Hermits",1969-07-11
"4262","2","3","6","Time of the Season","Zombies",1969-07-11
"4263","3","2","8","Proud Mary","Creedence Clearwater Revival",1969-07-11
"4264","4","6","6","The Boxer","Simon & Garfunkel",1969-07-11
"4265","5","4","5","Think it All Over","Sandie Shaw",1969-07-11
"4266","6","5","10","Hair","Cowsills",1969-07-11
"4267","7","12","3","Little Yellow Aeroplane","Leapy Lee",1969-07-11
"4268","8","11","4","Heather Honey","Tommy Roe",1969-07-11
"4269","9","10","8","Mercy","Ohio Express",1969-07-11
"4270","10","16","3","Time is Tight","Booker T & The MG’s",1969-07-11
"4271","11","8","6","Kumbaya","Sandpipers",1969-07-11
"4272","12","9","8","Young Love Can Hurt","Dickie Loader",1969-07-11
"4273","13","13","5","Israelites","Desmond Dekker",1969-07-11
"4274","14","19","2","Gimme Gimme Good Lovin’","Crazy Elephant",1969-07-11
"4275","15","7","11","First of May","Bee Gees",1969-07-11
"4276","16","New","1","Sugar, Sugar","Archies",1969-07-11
"4277","17","18","3","Gitarzan","Ray Stevens",1969-07-11
"4278","18","20","2","Montreal","Judy Page Ft Kimbo",1969-07-11
"4279","19","14","7","Love Me Tonight","Tom Jones",1969-07-11
"4280","20","17","4","Come Back and Shake Me","Clodagh Rodgers",1969-07-11
"4281","1","1","8","My Sentimental Friend","Herman’s Hermits",1969-07-18
"4282","2","2","7","Time of the Season","Zombies",1969-07-18
"4283","3","4","7","The Boxer","Simon & Garfunkel",1969-07-18
"4284","4","7","4","Little Yellow Aeroplane","Leapy Lee",1969-07-18
"4285","5","3","9","Proud Mary","Creedence Clearwater Revival",1969-07-18
"4286","6","10","4","Time is Tight","Booker T & The MG’s",1969-07-18
"4287","7","8","5","Heather Honey","Tommy Roe",1969-07-18
"4288","8","14","3","Gimme Gimme Good Lovin’","Crazy Elephant",1969-07-18
"4289","9","5","6","Think it All Over","Sandie Shaw",1969-07-18
"4290","10","6","11","Hair","Cowsills",1969-07-18
"4291","11","16","2","Sugar, Sugar","Archies",1969-07-18
"4292","12","13","6","Israelites","Desmond Dekker",1969-07-18
"4293","13","12","9","Young Love Can Hurt","Dickie Loader",1969-07-18
"4294","14","9","9","Mercy","Ohio Express",1969-07-18
"4295","15","18","3","Montreal","Judy Page Ft Kimbo",1969-07-18
"4296","16","17","4","Gitarzan","Ray Stevens",1969-07-18
"4297","17","11","7","Kumbaya","Sandpipers",1969-07-18
"4298","18","New","1","Man of the World","Fleetwood Mac",1969-07-18
"4299","19","New","1","Love Theme from “Romeo & Juliet”","Henry Mancini",1969-07-18
"4300","20","New","1","Turn Around","Ken J. Larkin",1969-07-18
"4301","1","4","5","Little Yellow Aeroplane","Leapy Lee",1969-07-25
"4302","2","6","5","Time is Tight","Booker T & The MG’s",1969-07-25
"4303","3","1","9","My Sentimental Friend","Herman’s Hermits",1969-07-25
"4304","4","3","8","The Boxer","Simon & Garfunkel",1969-07-25
"4305","5","2","8","Time of the Season","Zombies",1969-07-25
"4306","6","5","10","Proud Mary","Creedence Clearwater Revival",1969-07-25
"4307","7","8","4","Gimme Gimme Good Lovin’","Crazy Elephant",1969-07-25
"4308","8","7","6","Heather Honey","Tommy Roe",1969-07-25
"4309","9","11","3","Sugar, Sugar","Archies",1969-07-25
"4310","10","15","4","Montreal","Judy Page Ft Kimbo",1969-07-25
"4311","11","19","2","Love Theme from “Romeo & Juliet”","Henry Mancini",1969-07-25
"4312","12","18","2","Man of the World","Fleetwood Mac",1969-07-25
"4313","13","12","7","Israelites","Desmond Dekker",1969-07-25
"4314","14","10","12","Hair","Cowsills",1969-07-25
"4315","15","9","7","Think it All Over","Sandie Shaw",1969-07-25
"4316","16","20","2","Turn Around","Ken J. Larkin",1969-07-25
"4317","17","New","1","Bad Moon Rising","Creedence Clearwater Revival",1969-07-25
"4318","18","New","1","Special Delivery","1910 Fruitgum Company",1969-07-25
"4319","19","New","1","Frozen Orange Juice","Peter Sarstedt",1969-07-25
"4320","20","13","10","Young Love Can Hurt","Dickie Loader",1969-07-25
"4321","1","2","6","Time is Tight","Booker T & The MG’s",1969-08-01
"4322","2","1","6","Little Yellow Aeroplane","Leapy Lee",1969-08-01
"4323","3","7","5","Gimme Gimme Good Lovin’","Crazy Elephant",1969-08-01
"4324","4","9","4","Sugar, Sugar","Archies",1969-08-01
"4325","5","3","10","My Sentimental Friend","Herman’s Hermits",1969-08-01
"4326","6","5","9","Time of the Season","Zombies",1969-08-01
"4327","7","4","9","The Boxer","Simon & Garfunkel",1969-08-01
"4328","8","17","2","Bad Moon Rising","Creedence Clearwater Revival",1969-08-01
"4329","9","11","3","Love Theme from “Romeo & Juliet”","Henry Mancini",1969-08-01
"4330","10","8","7","Heather Honey","Tommy Roe",1969-08-01
"4331","11","12","3","Man of the World","Fleetwood Mac",1969-08-01
"4332","12","10","5","Montreal","Judy Page Ft Kimbo",1969-08-01
"4333","13","6","11","Proud Mary","Creedence Clearwater Revival",1969-08-01
"4334","14","18","2","Special Delivery","1910 Fruitgum Company",1969-08-01
"4335","15","16","3","Turn Around","Ken J. Larkin",1969-08-01
"4336","16","19","2","Frozen Orange Juice","Peter Sarstedt",1969-08-01
"4337","17","13","8","Israelites","Desmond Dekker",1969-08-01
"4338","18","New","1","Big Ship","Cliff Richard",1969-08-01
"4339","19","New","1","Oh Happy Day","Edwin Hawkins Singers",1969-08-01
"4340","20","New","1","Lights of Cincinatti","Scott Walker",1969-08-01
"4341","1","1","7","Time is Tight","Booker T & The MG’s",1969-08-08
"4342","2","4","5","Sugar, Sugar","Archies",1969-08-08
"4343","3","8","3","Bad Moon Rising","Creedence Clearwater Revival",1969-08-08
"4344","4","2","7","Little Yellow Aeroplane","Leapy Lee",1969-08-08
"4345","5","3","6","Gimme Gimme Good Lovin’","Crazy Elephant",1969-08-08
"4346","6","9","4","Love Theme from “Romeo & Juliet”","Henry Mancini",1969-08-08
"4347","7","6","10","Time of the Season","Zombies",1969-08-08
"4348","8","14","3","Special Delivery","1910 Fruitgum Company",1969-08-08
"4349","9","5","11","My Sentimental Friend","Herman’s Hermits",1969-08-08
"4350","10","7","10","The Boxer","Simon & Garfunkel",1969-08-08
"4351","11","15","4","Turn Around","Ken J. Larkin",1969-08-08
"4352","12","16","3","Frozen Orange Juice","Peter Sarstedt",1969-08-08
"4353","13","10","8","Heather Honey","Tommy Roe",1969-08-08
"4354","14","New","1","These Eyes","Guess Who",1969-08-08
"4355","15","13","12","Proud Mary","Creedence Clearwater Revival",1969-08-08
"4356","16","19","2","Oh Happy Day","Edwin Hawkins Singers",1969-08-08
"4357","17","20","2","Lights of Cincinatti","Scott Walker",1969-08-08
"4358","18","New","1","Tomorrow, Tomorrow","Bee Gees",1969-08-08
"4359","19","11","4","Man of the World","Fleetwood Mac",1969-08-08
"4360","20","New","1","Cover Me","Percy Sledge",1969-08-08
"4361","1","1","8","Time is Tight","Booker T & The MG’s",1969-08-15
"4362","2","2","6","Sugar, Sugar","Archies",1969-08-15
"4363","3","3","4","Bad Moon Rising","Creedence Clearwater Revival",1969-08-15
"4364","4","6","5","Love Theme from “Romeo & Juliet”","Henry Mancini",1969-08-15
"4365","5","4","8","Little Yellow Aeroplane","Leapy Lee",1969-08-15
"4366","6","8","4","Special Delivery","1910 Fruitgum Company",1969-08-15
"4367","7","12","4","Frozen Orange Juice","Peter Sarstedt",1969-08-15
"4368","8","11","5","Turn Around","Ken J. Larkin",1969-08-15
"4369","9","7","11","Time of the Season","Zombies",1969-08-15
"4370","10","5","7","Gimme Gimme Good Lovin’","Crazy Elephant",1969-08-15
"4371","11","14","2","These Eyes","Guess Who",1969-08-15
"4372","12","17","3","Lights of Cincinatti","Scott Walker",1969-08-15
"4373","13","18","2","Tomorrow, Tomorrow","Bee Gees",1969-08-15
"4374","14","10","11","The Boxer","Simon & Garfunkel",1969-08-15
"4375","15","16","3","Oh Happy Day","Edwin Hawkins Singers",1969-08-15
"4376","16","20","2","Cover Me","Percy Sledge",1969-08-15
"4377","17","15","13","Proud Mary","Creedence Clearwater Revival",1969-08-15
"4378","18","New","1","Let Me","Paul Revere & The Raiders",1969-08-15
"4379","19","New","1","Moonflight","Vik Venus",1969-08-15
"4380","20","New","1","Good Morning Starshine","Oliver",1969-08-15
"4381","1","2","7","Sugar, Sugar","Archies",1969-08-22
"4382","2","3","5","Bad Moon Rising","Creedence Clearwater Revival",1969-08-22
"4383","3","1","9","Time is Tight","Booker T & The MG’s",1969-08-22
"4384","4","7","5","Frozen Orange Juice","Peter Sarstedt",1969-08-22
"4385","5","6","5","Special Delivery","1910 Fruitgum Company",1969-08-22
"4386","6","4","6","Love Theme from “Romeo & Juliet”","Henry Mancini",1969-08-22
"4387","7","8","6","Turn Around","Ken J. Larkin",1969-08-22
"4388","8","5","9","Little Yellow Aeroplane","Leapy Lee",1969-08-22
"4389","9","12","4","Lights of Cincinatti","Scott Walker",1969-08-22
"4390","10","11","3","These Eyes","Guess Who",1969-08-22
"4391","11","13","3","Tomorrow, Tomorrow","Bee Gees",1969-08-22
"4392","12","19","2","Moonflight","Vik Venus",1969-08-22
"4393","13","15","4","Oh Happy Day","Edwin Hawkins Singers",1969-08-22
"4394","14","16","3","Cover Me","Percy Sledge",1969-08-22
"4395","15","18","2","Let Me","Paul Revere & The Raiders",1969-08-22
"4396","16","10","8","Gimme Gimme Good Lovin’","Crazy Elephant",1969-08-22
"4397","17","20","2","Good Morning Starshine","Oliver",1969-08-22
"4398","18","New","1","Saved by the Bell","Robin Gibb",1969-08-22
"4399","19","New","1","Listen to the Band","Monkees",1969-08-22
"4400","20","New","1","Baby Make it Soon","Marmalade",1969-08-22
"4401","1","1","8","Sugar, Sugar","Archies",1969-08-29
"4402","2","2","6","Bad Moon Rising","Creedence Clearwater Revival",1969-08-29
"4403","3","5","6","Special Delivery","1910 Fruitgum Company",1969-08-29
"4404","4","4","6","Frozen Orange Juice","Peter Sarstedt",1969-08-29
"4405","5","3","10","Time is Tight","Booker T & The MG’s",1969-08-29
"4406","6","7","7","Turn Around","Ken J. Larkin",1969-08-29
"4407","7","12","3","Moonflight","Vik Venus",1969-08-29
"4408","8","9","5","Lights of Cincinatti","Scott Walker",1969-08-29
"4409","9","11","4","Tomorrow, Tomorrow","Bee Gees",1969-08-29
"4410","10","6","7","Love Theme from “Romeo & Juliet”","Henry Mancini",1969-08-29
"4411","11","15","3","Let Me","Paul Revere & The Raiders",1969-08-29
"4412","12","17","3","Good Morning Starshine","Oliver",1969-08-29
"4413","13","18","2","Saved by the Bell","Robin Gibb",1969-08-29
"4414","14","14","4","Cover Me","Percy Sledge",1969-08-29
"4415","15","10","4","These Eyes","Guess Who",1969-08-29
"4416","16","20","2","Baby Make it Soon","Marmalade",1969-08-29
"4417","17","19","2","Listen to the Band","Monkees",1969-08-29
"4418","18","New","1","Make Me an Island","Joe Dolan",1969-08-29
"4419","19","New","1","It Miek","Desmond Dekker",1969-08-29
"4420","20","New","1","I’d Rather Go Blind","Chicken Shack",1969-08-29
"4421","1","1","9","Sugar, Sugar","Archies",1969-09-05
"4422","2","2","7","Bad Moon Rising","Creedence Clearwater Revival",1969-09-05
"4423","3","5","11","Time is Tight","Booker T & The MG’s",1969-09-05
"4424","4","13","3","Saved by the Bell","Robin Gibb",1969-09-05
"4425","5","3","7","Special Delivery","1910 Fruitgum Company",1969-09-05
"4426","6","6","8","Turn Around","Ken J. Larkin",1969-09-05
"4427","7","4","7","Frozen Orange Juice","Peter Sarstedt",1969-09-05
"4428","8","7","4","Moonflight","Vik Venus",1969-09-05
"4429","9","12","4","Good Morning Starshine","Oliver",1969-09-05
"4430","10","11","4","Let Me","Paul Revere & The Raiders",1969-09-05
"4431","11","16","3","Baby Make it Soon","Marmalade",1969-09-05
"4432","12","18","2","Make Me an Island","Joe Dolan",1969-09-05
"4433","13","8","6","Lights of Cincinatti","Scott Walker",1969-09-05
"4434","14","10","8","Love Theme from “Romeo & Juliet”","Henry Mancini",1969-09-05
"4435","15","9","5","Tomorrow, Tomorrow","Bee Gees",1969-09-05
"4436","16","15","5","These Eyes","Guess Who",1969-09-05
"4437","17","17","3","Listen to the Band","Monkees",1969-09-05
"4438","18","19","2","It Miek","Desmond Dekker",1969-09-05
"4439","19","New","1","Jack and Jill","Tommy Roe",1969-09-05
"4440","20","New","1","Way of Life","Family Dogg",1969-09-05
"4441","1","2","8","Bad Moon Rising","Creedence Clearwater Revival",1969-09-12
"4442","2","1","10","Sugar, Sugar","Archies",1969-09-12
"4443","3","4","4","Saved by the Bell","Robin Gibb",1969-09-12
"4444","4","3","12","Time is Tight","Booker T & The MG’s",1969-09-12
"4445","5","6","9","Turn Around","Ken J. Larkin",1969-09-12
"4446","6","9","5","Good Morning Starshine","Oliver",1969-09-12
"4447","7","12","3","Make Me an Island","Joe Dolan",1969-09-12
"4448","8","11","4","Baby Make it Soon","Marmalade",1969-09-12
"4449","9","10","5","Let Me","Paul Revere & The Raiders",1969-09-12
"4450","10","8","5","Moonflight","Vik Venus",1969-09-12
"4451","11","5","8","Special Delivery","1910 Fruitgum Company",1969-09-12
"4452","12","7","8","Frozen Orange Juice","Peter Sarstedt",1969-09-12
"4453","13","19","2","Jack and Jill","Tommy Roe",1969-09-12
"4454","14","New","1","Put a Little Love in Your Heart","Jackie DeShannon",1969-09-12
"4455","15","New","1","Conversations","Cilla Black",1969-09-12
"4456","16","20","2","Way of Life","Family Dogg",1969-09-12
"4457","17","18","3","It Miek","Desmond Dekker",1969-09-12
"4458","18","New","1","Spinning Wheel","Blood, Sweat and Tears",1969-09-12
"4459","19","15","6","Tomorrow, Tomorrow","Bee Gees",1969-09-12
"4460","20","16","6","These Eyes","Guess Who",1969-09-12
"4461","1","3","5","Saved by the Bell","Robin Gibb",1969-09-19
"4462","2","7","4","Make Me an Island","Joe Dolan",1969-09-19
"4463","3","2","11","Sugar, Sugar","Archies",1969-09-19
"4464","4","1","9","Bad Moon Rising","Creedence Clearwater Revival",1969-09-19
"4465","5","5","10","Turn Around","Ken J. Larkin",1969-09-19
"4466","6","8","5","Baby Make it Soon","Marmalade",1969-09-19
"4467","7","6","6","Good Morning Starshine","Oliver",1969-09-19
"4468","8","9","6","Let Me","Paul Revere & The Raiders",1969-09-19
"4469","9","4","13","Time is Tight","Booker T & The MG’s",1969-09-19
"4470","10","14","2","Put a Little Love in Your Heart","Jackie DeShannon",1969-09-19
"4471","11","15","2","Conversations","Cilla Black",1969-09-19
"4472","12","13","3","Jack and Jill","Tommy Roe",1969-09-19
"4473","13","12","9","Frozen Orange Juice","Peter Sarstedt",1969-09-19
"4474","14","18","2","Spinning Wheel","Blood, Sweat and Tears",1969-09-19
"4475","15","16","3","Way of Life","Family Dogg",1969-09-19
"4476","16","11","9","Special Delivery","1910 Fruitgum Company",1969-09-19
"4477","17","New","1","Abergavenny","Quentin E. Klopjaeger",1969-09-19
"4478","18","17","4","It Miek","Desmond Dekker",1969-09-19
"4479","19","New","1","Katrina’s Theme","Jill Kirkland",1969-09-19
"4480","20","New","1","Sing a Rainbow/Love is Blue","Dells",1969-09-19
"4481","1","1","6","Saved by the Bell","Robin Gibb",1969-09-26
"4482","2","3","12","Sugar, Sugar","Archies",1969-09-26
"4483","3","6","6","Baby Make it Soon","Marmalade",1969-09-26
"4484","4","2","5","Make Me an Island","Joe Dolan",1969-09-26
"4485","5","4","10","Bad Moon Rising","Creedence Clearwater Revival",1969-09-26
"4486","6","7","7","Good Morning Starshine","Oliver",1969-09-26
"4487","7","10","3","Put a Little Love in Your Heart","Jackie DeShannon",1969-09-26
"4488","8","11","3","Conversations","Cilla Black",1969-09-26
"4489","9","9","14","Time is Tight","Booker T & The MG’s",1969-09-26
